,Name,NetWorth,Country,Source,Rank,Age,Industry
1418,Tom Persson,$2.3 B,Sweden,H&M,1362,36.0,Fashion & Retail
1419,Stewart Rahr,$2.3 B,United States,drug distribution,1362,75.0,Healthcare
1420,Krit Ratanarak,$2.3 B,Thailand,"media, real estate",1362,74.0,Media & Entertainment
1421,Michael Saylor,$2.3 B,United States,cryptocurrency,1362,56.0,Technology
1422,"Karl Scheufele, III. & family",$2.3 B,Switzerland,jewelry,1362,82.0,Fashion & Retail
1423,Stephan Schmidheiny,$2.3 B,Switzerland,investments,1362,73.0,Finance & Investments
1424,Vijay Shekhar Sharma,$2.3 B,India,financial technology,1362,42.0,Service
1425,Charlotte Soderstrom,$2.3 B,Sweden,H&M,1362,44.0,Fashion & Retail
1426,Sun Huaiqing & family,$2.3 B,China,cosmetics,1362,51.0,Fashion & Retail
1427,Sze Man Bok,$2.3 B,China,hygiene products,1362,71.0,Manufacturing
1428,Katsumi Tada,$2.3 B,Japan,real estate,1362,75.0,Real Estate
1429,Ted Turner,$2.3 B,United States,cable television,1362,82.0,Media & Entertainment
1430,Jitendra Virwani,$2.3 B,India,real estate,1362,55.0,Real Estate
1431,Arkady Volozh,$2.3 B,Russia,search engine,1362,57.0,Media & Entertainment
1432,Lang Walker,$2.3 B,Australia,real estate,1362,75.0,Real Estate
1433,Wei Ying-Chiao,$2.3 B,Taiwan,"food, beverages",1362,66.0,Food & Beverage
1434,Wu Zhongyi,$2.3 B,China,electronics,1362,47.0,Technology
1435,Elaine Wynn,$2.3 B,United States,"casinos, hotels",1362,78.0,Gambling & Casinos
1436,Xu Chuanhua & family,$2.3 B,China,"chemicals, logistics",1362,86.0,Manufacturing
1437,Jerry Yang,$2.3 B,United States,Yahoo,1362,52.0,Technology
1438,Yang Weidong & family,$2.3 B,China,chemicals,1362,52.0,Manufacturing
1439,Barry Zekelman,$2.3 B,Canada,steel,1362,54.0,Manufacturing
1440,Zhang Xuezheng,$2.3 B,China,telecom,1362,45.0,Technology
1441,Zhang Yin,$2.3 B,China,paper manufacturing,1362,64.0,Manufacturing
1442,Kostyantin Zhevago,$2.3 B,Ukraine,mining,1362,47.0,Metals & Mining
1443,Jose Joao Abdalla Filho,$2.2 B,Brazil,investments,1444,75.0,Finance & Investments
1444,Abdulla Al Futtaim & family,$2.2 B,United Arab Emirates,"auto dealers, investments",1444,,Automotive
1445,Ramon Ang,$2.2 B,Philippines,Diversified,1444,67.0,Food & Beverage
1446,Bill Austin,$2.2 B,United States,hearing aids,1444,79.0,Manufacturing
1447,Acharya Balkrishna,$2.2 B,India,consumer goods,1444,48.0,Food & Beverage
1448,Richard Barton,$2.2 B,United States,Zillow,1444,53.0,Real Estate
1449,Edward Bass,$2.2 B,United States,"oil, investments",1444,75.0,Energy
1450,Thor Bjorgolfsson,$2.2 B,Iceland,investments,1444,54.0,Diversified
1451,Nikolai Buinov,$2.2 B,Russia,"oil, gas",1444,53.0,Energy
1452,Bruce Cheng,$2.2 B,Taiwan,electronics,1444,85.0,Technology
1453,Chin Jong Hwa,$2.2 B,Taiwan,auto parts,1444,62.0,Automotive
1454,Jai Hari & Yadu Hari Dalmia & family,$2.2 B,India,cement,1444,,Manufacturing
1455,Dermot Desmond,$2.2 B,Ireland,finance,1444,70.0,Finance & Investments
1456,K. Dinesh,$2.2 B,India,software services,1444,66.0,Technology
1457,"Frank Fertitta, III.",$2.2 B,United States,"casinos, mixed martial arts",1444,59.0,Sports
1458,Lorenzo Fertitta,$2.2 B,United States,"casinos, mixed martial arts",1444,52.0,Sports
1459,Maria Franca Fissolo,$2.2 B,Italy,"Nutella, chocolates",1444,86.0,Food & Beverage
1460,Serge Godin,$2.2 B,Canada,information technology,1444,71.0,Technology
1461,Gu Wei,$2.2 B,China,consumer electronics,1444,56.0,Manufacturing
1462,Jeffrey Gundlach,$2.2 B,United States,investments,1444,62.0,Finance & Investments
1463,Guo Jiangang,$2.2 B,China,household appliances,1444,54.0,Manufacturing
1464,Carlos Hank Rhon,$2.2 B,Mexico,banking,1444,73.0,Diversified
1465,Gerry Harvey,$2.2 B,Australia,retail,1444,81.0,Fashion & Retail
1466,Huang Guanlin,$2.2 B,China,"textiles, apparel",1444,56.0,Fashion & Retail
1467,Huang Wei,$2.2 B,China,real estate,1444,61.0,Real Estate
1468,Hui Lin Chit,$2.2 B,China,hygiene products,1444,67.0,Manufacturing
1469,Randal J. Kirk,$2.2 B,United States,pharmaceuticals,1444,67.0,Healthcare
1470,Leo Koguan,$2.2 B,United States,IT provider,1444,66.0,Technology
1471,Miguel Krigsner,$2.2 B,Brazil,cosmetics,1444,71.0,Fashion & Retail
1472,Kwek Leng Kee,$2.2 B,Singapore,diversified,1444,66.0,Diversified
1473,Thomas Kwok,$2.2 B,Hong Kong,real estate,1444,69.0,Real Estate
1474,Lau Cho Kun,$2.2 B,Malaysia,"palm oil, property",1444,85.0,Diversified
1475,Jeff Lawson,$2.2 B,United States,software,1444,43.0,Technology
1476,Max Levchin,$2.2 B,United States,fintech,1444,45.0,Finance & Investments
1477,Li Guoqing,$2.2 B,China,Petro Fibre,1444,51.0,Manufacturing
1478,Li Shuirong,$2.2 B,China,petrochemicals,1444,64.0,Manufacturing
1479,Li Yongqing,$2.2 B,China,Petro Firbe,1444,56.0,Manufacturing
1480,Liang Xinjun,$2.2 B,China,conglomerate,1444,53.0,Diversified
1481,Lin Chang Su-O,$2.2 B,Taiwan,real estate,1444,80.0,Real Estate
1482,Lin Fanlian,$2.2 B,China,"energy, real estate",1444,59.0,Energy
1483,Scott Lin,$2.2 B,Taiwan,optical components,1444,88.0,Technology
1484,Mao Zhongwu,$2.2 B,China,manufacturing,1444,58.0,Manufacturing
1485,David McMurtry,$2.2 B,United Kingdom,manufacturing,1444,80.0,Manufacturing
1486,Rubens Menin Teixeira de Souza,$2.2 B,Brazil,"home building, banking",1444,65.0,Diversified
1487,Mi Enhua,$2.2 B,China,retail,1444,63.0,Fashion & Retail
1488,Bob Parsons,$2.2 B,United States,web hosting,1444,70.0,Technology
1489,Catherine Phillips,$2.2 B,Canada,investments,1444,,Finance & Investments
1490,John Phillips,$2.2 B,Canada,investments,1444,70.0,Finance & Investments
1491,Arvind Poddar,$2.2 B,India,tires,1444,63.0,Automotive
1492,Qian Ying,$2.2 B,China,pig breeding,1444,55.0,Food & Beverage
1493,Phillip T. (Terry) Ragon,$2.2 B,United States,health IT,1444,71.0,Technology
1494,Alberto Roemmers,$2.2 B,Argentina,pharmaceuticals,1444,94.0,Healthcare
1495,Shashi & Ravi Ruia,$2.2 B,India,diversified,1444,,Diversified
1496,Vlad Shmunis,$2.2 B,United States,cloud technology,1444,60.0,Technology
1497,Alberto Siccardi & family,$2.2 B,Switzerland,medical devices,1444,76.0,Healthcare
1498,Sebastian Siemiatkowski,$2.2 B,Sweden,fintech,1444,39.0,Finance & Investments
1499,Salil Singhal,$2.2 B,India,agrochemicals,1444,73.0,Manufacturing
1500,Dean Solon,$2.2 B,United States,solar systems,1444,56.0,Energy
1501,Timothy Springer,$2.2 B,United States,biotech,1444,73.0,Healthcare
1502,Peter Spuhler,$2.2 B,Switzerland,train cars,1444,61.0,Manufacturing
1503,Tang Yiu,$2.2 B,Hong Kong,fashion retail,1444,87.0,Fashion & Retail
1504,Tran Dinh Long,$2.2 B,Vietnam,steel,1444,60.0,Manufacturing
1505,Anna Katharina Viessmann,$2.2 B,Germany,heating and cooling equipment,1444,,Manufacturing
1506,David Walentas,$2.2 B,United States,real estate,1444,82.0,Real Estate
1507,Wu Lanlan & family,$2.2 B,China,packaging,1444,47.0,Manufacturing
1508,Wu Yiling,$2.2 B,China,pharmaceuticals,1444,71.0,Healthcare
1509,Xiang Wenbo,$2.2 B,China,manufacturing,1444,58.0,Manufacturing
1510,Xie Liangzhi & family,$2.2 B,China,biotech,1444,55.0,Healthcare
1511,Xu Yuejuan,$2.2 B,China,Petro Fibre,1444,59.0,Manufacturing
1512,Shintaro Yamada,$2.2 B,Japan,mobile apps,1444,43.0,Technology
1513,Yang Jian,$2.2 B,China,real estate,1444,49.0,Real Estate
1514,Gavril Yushvaev,$2.2 B,Russia,"precious metals, real estate",1444,63.0,Finance & Investments
1515,Zhang Jingzhang & family,$2.2 B,China,precision machinery,1444,85.0,Manufacturing
1516,Michael Ashcroft,$2.1 B,United Kingdom,security,1517,75.0,Finance & Investments
1517,George Bishop,$2.1 B,United States,oil & gas,1517,83.0,Energy
1518,Julio Bozano,$2.1 B,Brazil,banking,1517,85.0,Finance & Investments
1519,Herb Chambers,$2.1 B,United States,car dealerships,1517,79.0,Automotive
1520,Andrew & Peggy Cherng,$2.1 B,United States,restaurants,1517,,Food & Beverage
1521,Jacques D'Amours,$2.1 B,Canada,retail,1517,64.0,Fashion & Retail
1522,Ray Davis,$2.1 B,United States,pipelines,1517,79.0,Energy
1523,Diao Zhizhong,$2.1 B,China,software,1517,57.0,Technology
1524,Michael Federmann & family,$2.1 B,Israel,"defense, hotels",1517,77.0,Technology
1525,William Fisher,$2.1 B,United States,Gap,1517,64.0,Fashion & Retail
1526,Bernard Fraisse,$2.1 B,France,pharmaceuticals,1517,64.0,Healthcare
1527,Fabricio Garcia,$2.1 B,Brazil,retail,1517,43.0,Fashion & Retail
1528,Flavia Bittar Garcia Faleiros,$2.1 B,Brazil,retail,1517,40.0,Fashion & Retail
1529,Gordon Getty,$2.1 B,United States,Getty Oil,1517,87.0,Energy
1530,Philippe Ginestet & family,$2.1 B,France,retail stores,1517,67.0,Fashion & Retail
1531,Gong Yingying,$2.1 B,China,health IT,1517,36.0,Healthcare
1532,Lutz Mario Helmig,$2.1 B,Germany,hospitals,1517,74.0,Healthcare
1533,Ilkka Herlin,$2.1 B,Finland,"elevators, escalators",1517,62.0,Manufacturing
1534,Arthur Xiaobo Hong,$2.1 B,China,e-commerce,1517,49.0,Fashion & Retail
1535,Hong Feng,$2.1 B,China,smartphones,1517,44.0,Technology
1536,Huang Shih Tsai,$2.1 B,Hong Kong,real estate,1517,69.0,Real Estate
1537,Jiang Yehua & family,$2.1 B,China,real estate,1517,58.0,Real Estate
1538,Keeree Kanjanapas,$2.1 B,Thailand,transportation,1517,70.0,Real Estate
1539,Alexander Karp,$2.1 B,United States,software firm,1517,53.0,Technology
1540,Bruce Karsh,$2.1 B,United States,private equity,1517,65.0,Finance & Investments
1541,Mustafa Kucuk,$2.1 B,Turkey,fashion retail,1517,57.0,Fashion & Retail
1542,Dominika Kulczyk,$2.1 B,Poland,diversified,1517,43.0,Finance & Investments
1543,Philippe Laffont,$2.1 B,United States,hedge fund,1517,53.0,Finance & Investments
1544,Henry Laufer,$2.1 B,United States,hedge funds,1517,75.0,Finance & Investments
1545,Frank Laukien,$2.1 B,United States,scientific equipment,1517,61.0,Manufacturing
1546,Mark Leonard & family,$2.1 B,Canada,software,1517,64.0,Technology
1547,Li Wanqiang,$2.1 B,China,smartphones,1517,43.0,Technology
1548,Li Weiwei,$2.1 B,China,online games,1517,44.0,Technology
1549,Lin Chen-hai,$2.1 B,Taiwan,real estate,1517,74.0,Real Estate
1550,Lin Yinsun,$2.1 B,China,agribusiness,1517,57.0,Food & Beverage
1551,Liu Zhongtian & family,$2.1 B,China,aluminum products,1517,57.0,Manufacturing
1552,Daniel Lubetzky,$2.1 B,United States,snack bars,1517,52.0,Food & Beverage
1553,Prayudh Mahagitsiri,$2.1 B,Thailand,"coffee, shipping",1517,75.0,Food & Beverage
1554,Igor Makarov,$2.1 B,Russia,investments,1517,59.0,Energy
1555,Kishore Mariwala,$2.1 B,India,consumer goods,1517,86.0,Food & Beverage
1556,Howard Marks,$2.1 B,United States,private equity,1517,74.0,Finance & Investments
1557,Katarina Martinson,$2.1 B,Sweden,investments,1517,39.0,Diversified
1558,Vincent McMahon,$2.1 B,United States,entertainment,1517,75.0,Sports
1559,David Murdock,$2.1 B,United States,"Dole, real estate",1517,97.0,Food & Beverage
1560,Vikas Oberoi,$2.1 B,India,real estate,1517,50.0,Real Estate
1561,Erik Paulsson & family,$2.1 B,Sweden,"construction, real estate",1517,79.0,Real Estate
1562,Roger Penske,$2.1 B,United States,cars,1517,84.0,Automotive
1563,Florentino Perez,$2.1 B,Spain,construction,1517,74.0,Construction & Engineering
1564,Phil Ruffin,$2.1 B,United States,"casinos, real estate",1517,86.0,Diversified
1565,Richard Sands,$2.1 B,United States,liquor,1517,70.0,Food & Beverage
1566,Robert Sands,$2.1 B,United States,liquor,1517,62.0,Food & Beverage
1567,Dieter Schnabel,$2.1 B,Germany,chemicals,1517,75.0,Manufacturing
1568,Christiane Schoeller,$2.1 B,Germany,publishing,1517,,Media & Entertainment
1569,Jeffrey Talpins,$2.1 B,United States,hedge fund,1517,46.0,Finance & Investments
1570,Timur Turlov,$2.1 B,Russia,stock brokerage,1517,33.0,Finance & Investments
1571,Sandro Veronesi & family,$2.1 B,Italy,fashion,1517,61.0,Fashion & Retail
1572,Wang Chou-hsiong,$2.1 B,Taiwan,footwear,1517,80.0,Manufacturing
1573,Wang Minwen,$2.1 B,China,semiconductor,1517,57.0,Technology
1574,Weng Xianding,$2.1 B,China,medical devices,1517,59.0,Healthcare
1575,Michael Xie,$2.1 B,United States,cybersecurity,1517,52.0,Technology
1576,Yuan Fugen & family,$2.1 B,China,metal processing,1517,70.0,Manufacturing
1577,Zhao Fenggang,$2.1 B,China,batteries,1517,55.0,Energy
1578,Zhou Zongwen & family,$2.1 B,China,jewelry,1517,64.0,Fashion & Retail
1579,S. Daniel Abraham,$2 B,United States,Slim-Fast,1580,96.0,Food & Beverage
1580,Isak Andic & family,$2 B,Spain,fashion retail,1580,67.0,Fashion & Retail
1581,Roberto Angelini Rossi,$2 B,Chile,"forestry, mining",1580,72.0,Diversified
1582,Masaaki Arai,$2 B,Japan,home sales,1580,55.0,Real Estate
1583,George Argyros & family,$2 B,United States,"real estate, investments",1580,84.0,Real Estate
1584,Pavel Baudis,$2 B,Czechia,software,1580,60.0,Technology
1585,Anne Beaufour,$2 B,France,pharmaceuticals,1580,57.0,Healthcare
1586,Henri Beaufour,$2 B,France,pharmaceuticals,1580,55.0,Healthcare
1587,Brett Blundy,$2 B,Australia,"retail, agribusiness",1580,61.0,Fashion & Retail
1588,J. Hyatt Brown,$2 B,United States,insurance,1580,83.0,Finance & Investments
1589,Dai Wenjun,$2 B,China,food,1580,52.0,Food & Beverage
1590,Sol Daurella,$2 B,Spain,Coca-Cola bottler,1580,55.0,Food & Beverage
1591,John de Mol,$2 B,Netherlands,TV programs,1580,66.0,Media & Entertainment
1592,Dou Zhenggang,$2 B,China,"energy, chemicals",1580,67.0,Diversified
1593,Glenn Dubin,$2 B,United States,hedge funds,1580,63.0,Finance & Investments
1594,John Elkann,$2 B,Italy,"FIAT, investments",1580,45.0,Finance & Investments
1595,Ibrahim Erdemoglu,$2 B,Turkey,carpet,1580,58.0,Manufacturing
1596,Andy Fang,$2 B,United States,food delivery app,1580,28.0,Technology
1597,Fang Hongbo,$2 B,China,home appliances,1580,54.0,Manufacturing
1598,Kenneth Feld & family,$2 B,United States,live entertainment,1580,72.0,Media & Entertainment
1599,Walter Frey,$2 B,Switzerland,car dealerships,1580,77.0,Automotive
1600,Yasuhiro Fukushima,$2 B,Japan,video games,1580,73.0,Media & Entertainment
1601,Dennis Gillings,$2 B,United Kingdom,drug testing,1580,76.0,Healthcare
1602,Sam Goi,$2 B,Singapore,frozen foods,1580,74.0,Food & Beverage
1603,Bahaa Hariri,$2 B,Lebanon,"real estate, investments",1580,54.0,Real Estate
1604,Ilona Herlin,$2 B,Finland,"elevators, escalators",1580,56.0,Manufacturing
1605,Jeffery Hildebrand,$2 B,United States,oil,1580,62.0,Energy
1606,J. Tomilson Hill,$2 B,United States,investments,1580,72.0,Finance & Investments
1607,Orion Hindawi,$2 B,United States,software,1580,41.0,Technology
1608,Reid Hoffman,$2 B,United States,LinkedIn,1580,53.0,Technology
1609,Hou Juncheng,$2 B,China,cosmetics,1580,56.0,Healthcare
1610,W. Herbert Hunt,$2 B,United States,oil,1580,92.0,Energy
1611,George Joseph,$2 B,United States,insurance,1580,99.0,Finance & Investments
1612,Ke Yunfeng & family,$2 B,China,retailing,1580,54.0,Healthcare
1613,Sergei Kolesnikov,$2 B,Russia,building materials,1580,49.0,Manufacturing
1614,Thomas Lee,$2 B,United States,private equity,1580,77.0,Finance & Investments
1615,Peter Leibinger,$2 B,Germany,machine tools,1580,54.0,Manufacturing
1616,Regine Leibinger,$2 B,Germany,machine tools,1580,58.0,Manufacturing
1617,Nicola Leibinger-Kammueller,$2 B,Germany,manufacturing,1580,61.0,Manufacturing
1618,Solomon Lew,$2 B,Australia,retail,1580,76.0,Fashion & Retail
1619,Li Yong,$2 B,China,education,1580,47.0,Media & Entertainment
1620,Liu Yachao,$2 B,China,education,1580,40.0,Service
1621,Jeffrey Lorberbaum,$2 B,United States,flooring,1580,66.0,Manufacturing
1622,Jed McCaleb,$2 B,United States,cryptocurrency,1580,46.0,Finance & Investments
1623,Craig McCaw,$2 B,United States,telecom,1580,71.0,Telecom
1624,Miao Yongjun,$2 B,China,clinical diagnostics,1580,53.0,Healthcare
1625,Robert Miller,$2 B,Canada,electronics components,1580,75.0,Technology
1626,Charles Munger,$2 B,United States,Berkshire Hathaway,1580,97.0,Finance & Investments
1627,David Nahmad,$2 B,Monaco,art collection,1580,73.0,Fashion & Retail
1628,Jonathan Nelson,$2 B,United States,private equity,1580,64.0,Finance & Investments
1629,Pierre Karl Péladeau,$2 B,Canada,media,1580,59.0,Media & Entertainment
1630,Kevin Plank,$2 B,United States,Under Armour,1580,48.0,Fashion & Retail
1631,Alberto Prada,$2 B,Italy,luxury goods,1580,67.0,Fashion & Retail
1632,Marina Prada,$2 B,Italy,luxury goods,1580,75.0,Fashion & Retail
1633,Mahendra Prasad,$2 B,India,pharmaceuticals,1580,81.0,Healthcare
1634,Jennifer Pritzker,$2 B,United States,"hotels, investments",1580,70.0,Finance & Investments
1635,Linda Pritzker,$2 B,United States,"hotels, investments",1580,67.0,Service
1636,"Joe Rogers, Jr.",$2 B,United States,Waffle House,1580,,Food & Beverage
1637,Igor Rybakov,$2 B,Russia,building materials,1580,48.0,Manufacturing
1638,Sathien Setthasit,$2 B,Thailand,energy drinks,1580,66.0,Food & Beverage
1639,Mikhail Shelkov,$2 B,Russia,titanium,1580,52.0,Metals & Mining
1640,Shen Xiqiang & family,$2 B,China,chemical,1580,73.0,Energy
1641,Thaksin Shinawatra,$2 B,Thailand,investments,1580,71.0,Finance & Investments
1642,Martua Sitorus,$2 B,Indonesia,palm oil,1580,61.0,Manufacturing
1643,Sylvia Stroeher,$2 B,Germany,cosmetics,1580,65.0,Fashion & Retail
1644,Alexander Svetakov,$2 B,Russia,real estate,1580,53.0,Finance & Investments
1645,Stanley Tang,$2 B,United States,food delivery app,1580,28.0,Technology
1646,Tang Xiuguo,$2 B,China,manufacturing,1580,57.0,Manufacturing
1647,Alain Taravella,$2 B,France,real estate development,1580,73.0,Real Estate
1648,Wichai Thongtang,$2 B,Thailand,investments,1580,74.0,Real Estate
1649,Arvind Tiku,$2 B,India,"oil & gas, investments",1580,51.0,Energy
1650,Hamdi Ulukaya,$2 B,Turkey,greek yogurt,1580,48.0,Food & Beverage
1651,Georg von Opel,$2 B,Switzerland,"real estate, investments",1580,54.0,Finance & Investments
1652,Wang Chaobin,$2 B,China,real estate,1580,65.0,Real Estate
1653,Wang Zhenghua,$2 B,China,budget airline,1580,76.0,Service
1654,Wei Ing-Chou,$2 B,Taiwan,"food, beverages",1580,67.0,Food & Beverage
1655,Horst Wortmann,$2 B,Germany,footwear,1580,79.0,Fashion & Retail
1656,Wu Junbao,$2 B,China,education,1580,55.0,Service
1657,Wu Kai,$2 B,China,batteries,1580,53.0,Energy
1658,Amy Wyss,$2 B,United States,medical equipment,1580,50.0,Healthcare
1659,Xue Xiangdong & family,$2 B,China,software,1580,62.0,Technology
1660,Yan Zhi,$2 B,China,real estate,1580,48.0,Real Estate
1661,William Young,$2 B,United States,plastics,1580,80.0,Manufacturing
1662,Zhang Xuansong,$2 B,China,supermarkets,1580,49.0,Fashion & Retail
1663,Noubar Afeyan,$1.9 B,United States,biotech,1664,58.0,Healthcare
1664,Aziz Akhannouch & family,$1.9 B,Morocco,"petroleum, diversified",1664,60.0,Diversified
1665,Joao Alves de Queiroz Filho,$1.9 B,Brazil,pharmaceuticals,1664,68.0,Diversified
1666,Andrey Andreev,$1.9 B,United Kingdom,online dating,1664,47.0,Technology
1667,Felix Baker,$1.9 B,United States,biotech investing,1664,52.0,Finance & Investments
1668,Julian Baker,$1.9 B,United States,investing,1664,54.0,Finance & Investments
1669,Lee Bass,$1.9 B,United States,"oil, investments",1664,64.0,Energy
1670,Andrey Blokh,$1.9 B,Russia,cannabis,1664,57.0,Manufacturing
1671,Josef Boquoi & family,$1.9 B,Germany,frozen foods,1664,87.0,Food & Beverage
1672,Nicola Bulgari,$1.9 B,Italy,luxury goods,1664,80.0,Fashion & Retail
1673,Chen Shiliang,$1.9 B,China,polyester,1664,57.0,Manufacturing
1674,Chen Tei-fu,$1.9 B,Taiwan,herbal products,1664,72.0,Fashion & Retail
1675,Chung Yong-jin,$1.9 B,South Korea,retail,1664,52.0,Fashion & Retail
1676,Thierry Cruanes,$1.9 B,United States,software,1664,53.0,Technology
1677,Benoit Dageville,$1.9 B,United States,software,1664,54.0,Technology
1678,Beda Diethelm,$1.9 B,Switzerland,hearing aids,1664,80.0,Healthcare
1679,James Dinan,$1.9 B,United States,hedge funds,1664,61.0,Finance & Investments
1680,Mark Dixon,$1.9 B,United Kingdom,office real estate,1664,61.0,Real Estate
1681,Bulent Eczacibasi,$1.9 B,Turkey,"pharmaceuticals, diversified",1664,71.0,Diversified
1682,Fred Ehrsam,$1.9 B,United States,cryptocurrency exchange,1664,32.0,Finance & Investments
1683,Francois Feuillet,$1.9 B,France,"motorhomes, RVs",1664,72.0,Automotive
1684,Robert Fisher,$1.9 B,United States,Gap,1664,67.0,Fashion & Retail
1685,"William Foley, II.",$1.9 B,United States,★,1664,76.0,Finance & Investments
1686,Gao Yi & family,$1.9 B,China,pharmaceuticals,1664,52.0,Healthcare
1687,Gao Yu,$1.9 B,China,information technology,1664,51.0,Technology
1688,Sanjiv Goenka,$1.9 B,India,diversified,1664,60.0,Diversified
1689,Surjit Kumar Gupta,$1.9 B,India,electrical equipment,1664,79.0,Manufacturing
1690,Yusuf Hamied,$1.9 B,India,pharmaceuticals,1664,84.0,Healthcare
1691,Shmuel Harlap,$1.9 B,Israel,automotive,1664,76.0,Automotive
1692,Bill Haslam,$1.9 B,United States,gas stations,1664,62.0,Fashion & Retail
1693,Roberto Hernandez Ramirez,$1.9 B,Mexico,banking,1664,79.0,Finance & Investments
1694,Huang Jiangji,$1.9 B,Hong Kong,smartphones,1664,,Technology
1695,Stanley Hubbard,$1.9 B,United States,DirecTV,1664,87.0,Media & Entertainment
1696,Arthur Irving,$1.9 B,Canada,oil,1664,91.0,Energy
1697,Hamilton James,$1.9 B,United States,investments,1664,69.0,Finance & Investments
1698,Jiang Zhaobai,$1.9 B,China,real estate,1664,57.0,Real Estate
1699,Ke Jinlong & family,$1.9 B,China,retailing,1664,51.0,Healthcare
1700,Ke Kangbao & family,$1.9 B,China,retailing,1664,58.0,Healthcare
1701,Michael Kim,$1.9 B,United States,private equity,1664,57.0,Finance & Investments
1702,Ipek Kirac,$1.9 B,Turkey,diversified,1664,36.0,Diversified
1703,Kurt Krieger,$1.9 B,Germany,furniture retailing,1664,73.0,Fashion & Retail
1704,Christopher Kwok,$1.9 B,Hong Kong,real estate,1664,35.0,Real Estate
1705,Edward Kwok,$1.9 B,Hong Kong,real estate,1664,40.0,Real Estate
1706,Alexis Lê-Quôc,$1.9 B,United States,cloud computing,1664,46.0,Technology
1707,Li Guangyu,$1.9 B,China,education,1664,57.0,Service
1708,Li Hongjing,$1.9 B,China,auto parts,1664,53.0,Automotive
1709,Li Jiaquan,$1.9 B,China,chemicals,1664,57.0,Manufacturing
1710,Li Min,$1.9 B,China,semiconductor,1664,55.0,Technology
1711,Lin Dingqiang & family,$1.9 B,Hong Kong,real estate,1664,54.0,Real Estate
1712,Louise Lindh,$1.9 B,Sweden,investments,1664,41.0,Diversified
1713,Yusaku Maezawa,$1.9 B,Japan,online retail,1664,45.0,Technology
1714,Anand Mahindra,$1.9 B,India,diversified,1664,65.0,Diversified
1715,Willy Michel,$1.9 B,Switzerland,medical devices,1664,74.0,Healthcare
1716,Lachhman Das Mittal,$1.9 B,India,tractors,1664,90.0,Automotive
1717,Ermirio Pereira de Moraes,$1.9 B,Brazil,diversified,1664,88.0,Diversified
1718,Maria Helena Moraes Scripilliti,$1.9 B,Brazil,diversified,1664,90.0,Diversified
1719,Stefan Olsson,$1.9 B,Sweden,diversified,1664,72.0,Diversified
1720,Peng Yongdong,$1.9 B,China,real estate,1664,41.0,Real Estate
1721,Olivier Pomel,$1.9 B,France,cloud computing,1664,44.0,Technology
1722,Larry Robbins,$1.9 B,United States,hedge funds,1664,51.0,Finance & Investments
1723,Brian Roberts,$1.9 B,United States,Comcast,1664,61.0,Media & Entertainment
1724,Christopher Rokos,$1.9 B,United Kingdom,hedge fund,1664,50.0,Finance & Investments
1725,S.D. Shibulal,$1.9 B,India,software services,1664,66.0,Technology
1726,Evgeny (Eugene) Shvidler,$1.9 B,United States,"oil & gas, investments",1664,57.0,Energy
1727,Frank Slootman,$1.9 B,United States,software,1664,62.0,Technology
1728,Sergio Stevanato,$1.9 B,Italy,medical packaging,1664,78.0,Healthcare
1729,Kevin Systrom,$1.9 B,United States,Instagram,1664,37.0,Technology
1730,Tan Lili,$1.9 B,China,feed,1664,,Food & Beverage
1731,David Teoh & family,$1.9 B,Australia,telecom,1664,65.0,Telecom
1732,Patrizio Vinciarelli,$1.9 B,United States,electronic components,1664,74.0,Technology
1733,Todd Wagner,$1.9 B,United States,online media,1664,60.0,Media & Entertainment
1734,Wan Long,$1.9 B,China,food,1664,80.0,Food & Beverage
1735,Wang Jian,$1.9 B,China,healthcare services,1664,67.0,Technology
1736,Wang Jilei,$1.9 B,China,logistics,1664,56.0,Logistics
1737,Wang Junshi & family,$1.9 B,China,solar energy,1664,72.0,Manufacturing
1738,Wei Yin-Chun,$1.9 B,Taiwan,"food, beverages",1664,64.0,Food & Beverage
1739,Wei Yin-Heng,$1.9 B,Taiwan,"food, beverages",1664,62.0,Food & Beverage
1740,Stephen Winn,$1.9 B,United States,real estate services,1664,74.0,Real Estate
1741,Gordon Wu,$1.9 B,Hong Kong,real estate,1664,85.0,Real Estate
1742,Yang Xuegang,$1.9 B,China,coking,1664,56.0,Manufacturing
1743,Yu Huijiao,$1.9 B,China,package delivery,1664,55.0,Logistics
1744,Zeng Kaitian,$1.9 B,China,online games,1664,46.0,Technology
1745,Changpeng Zhao,$1.9 B,China,cryptocurrency exchange,1664,45.0,Finance & Investments
1746,Zhu Xingliang,$1.9 B,China,construction,1664,61.0,Construction & Engineering
1747,Zhu Yiwen & family,$1.9 B,China,healthcare,1664,,Healthcare
1748,Anita Zucker,$1.9 B,United States,chemicals,1664,69.0,Manufacturing
1749,Mohamed Al Fayed,$1.8 B,Egypt,"retail, investments",1750,92.0,Fashion & Retail
1750,Leslie Alexander,$1.8 B,United States,sports team,1750,77.0,Sports
1751,Joachim Ante,$1.8 B,Germany,game software,1750,38.0,Technology
1752,Roman Avdeev,$1.8 B,Russia,"banking, development",1750,53.0,Finance & Investments
1753,Arun Bharat Ram,$1.8 B,India,chemicals,1750,80.0,Manufacturing
1754,O. Francis Biondi,$1.8 B,United States,hedge funds,1750,56.0,Finance & Investments
1755,John Bloor,$1.8 B,United Kingdom,"real estate, manufacturing",1750,77.0,Diversified
